N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"73,400",400,+0.55%,100,"4,381,820","5,969,783",52.10,"5,391,512",14.23,9.99,
2,LG에너지솔루션,"564,000","16,000",+2.92%,500,"1,319,760","234,000",4.08,"1,403,210",382.37,N/A,
3,SK하이닉스,"125,000","2,000",+1.63%,"5,000","910,003","728,002",49.93,"1,905,379",11.30,9.53,
4,삼성전자우,"67,200",100,+0.15%,100,"552,980","822,887",74.79,"261,217",13.03,N/A,
5,삼성바이오로직스,"831,000","68,000",+8.91%,"2,500","549,831","66,165",10.47,"72,481",133.95,N/A,
6,NAVER,"324,000","3,000",-0.92%,100,"531,519","164,049",55.17,"206,405",3.21,15.22,
7,LG화학,"642,000","3,000",+0.47%,"5,000","453,203","70,592",49.34,"258,516",16.73,2.93,
8,현대차,"186,000",500,-0.27%,"5,000","397,423","213,668",27.78,"398,523",9.43,2.04,
9,카카오,"88,100",100,+0.11%,100,"392,843","445,906",28.68,"865,055",34.69,2.70,
10,삼성SDI,"569,000","1,000",+0.18%,"5,000","391,270","68,765",44.49,"403,706",35.69,4.54,
11,기아,"79,400","1,200",+1.53%,"5,000","321,858","405,363",35.15,"889,437",7.19,5.05,
12,KB금융,"60,300",900,-1.47%,"5,000","250,732","415,808",71.39,"428,910",5.76,8.53,
13,POSCO,"268,500",0,0.00%,"5,000","234,097","87,187",52.57,"175,071",4.02,3.61,
14,셀트리온,"162,500","5,500",+3.50%,"1,000","224,164","137,947",20.60,"272,291",41.35,16.68,
15,현대모비스,"230,000",0,0.00%,"5,000","217,518","94,573",34.26,"109,033",9.26,4.66,
16,카카오뱅크,"43,950","1,600",+3.78%,"5,000","208,832","475,159",15.40,"2,486,512",142.23,5.08,
17,신한지주,"39,700",0,0.00%,"5,000","205,090","516,600",61.32,"827,622",5.27,8.20,
18,LG전자,"124,500",500,-0.40%,"5,000","203,742","163,648",28.62,"276,586",17.96,13.23,
19,삼성물산,"108,500","2,500",+2.36%,100,"202,772","186,887",15.61,"116,690",12.34,3.81,
20,SK이노베이션,"219,000","7,500",-3.31%,"5,000","202,500","92,466",23.75,"614,248","-6,441.18",-13.58,
21,카카오페이,"133,500","5,500",+4.30%,500,"176,064","131,883",42.84,"266,056",-664.18,-17.97,
22,SK,"222,500",500,-0.22%,200,"164,982","74,149",21.79,"56,887",26.00,1.11,
23,LG생활건강,"976,000","6,000",+0.62%,"5,000","152,434","15,618",42.55,"26,865",20.31,17.92,
24,크래프톤,"306,000","1,000",+0.33%,100,"149,854","48,972",29.29,"270,951",23.98,61.86,
25,한국전력,"22,350",450,+2.05%,"5,000","143,479","641,964",14.50,"1,289,842",-13.17,2.91,
26,하나금융지주,"46,300",50,+0.11%,"5,000","139,012","300,242",69.79,"464,356",4.32,8.96,
27,삼성생명,"63,900",0,0.00%,500,"127,800","200,000",12.68,"96,619",8.17,3.53,
28,SK바이오사이언스,"166,500","3,500",-2.06%,500,"127,372","76,500",5.43,"409,515",64.11,13.25,
29,삼성전기,"168,500",500,+0.30%,"5,000","125,859","74,694",29.60,"224,470",12.95,10.92,
30,SK텔레콤,"55,900",500,+0.90%,100,"122,328","218,833",44.93,"259,481",8.67,6.44,
31,LG,"77,000",800,+1.05%,"5,000","121,122","157,301",36.22,"138,705",5.08,7.50,
32,엔씨소프트,"548,000","8,000",+1.48%,500,"120,308","21,954",43.71,"73,988",33.83,20.83,
33,HMM,"24,100",900,+3.88%,"5,000","117,859","489,039",10.36,"2,682,186",3.04,8.93,
34,삼성에스디에스,"142,500","3,000",+2.15%,500,"110,263","77,378",11.35,"54,635",16.22,6.71,
35,우리금융지주,"15,000",100,-0.66%,"5,000","109,209","728,061",32.12,"911,265",4.59,5.87,
36,하이브,"262,000","12,500",+5.01%,500,"108,346","41,353",16.11,"217,465",93.21,12.52,
37,KT&G,"78,200",400,-0.51%,"5,000","107,363","137,292",36.06,"96,903",9.02,13.22,
38,대한항공,"30,000",200,+0.67%,"5,000","104,346","347,821",11.83,"1,726,541",14.09,-7.22,
39,삼성화재,"214,500","1,000",+0.47%,500,"101,619","47,375",48.54,"37,991",9.27,4.96,
40,S-Oil,"90,000",900,-0.99%,"2,500","101,325","112,583",77.82,"122,738",8.66,-13.07,
41,고려아연,"527,000","10,000",-1.86%,"5,000","99,445","18,870",18.17,"25,968",13.18,8.37,
42,아모레퍼시픽,"160,500","1,000",+0.63%,500,"93,881","58,493",29.73,"66,590",61.90,0.78,
43,두산중공업,"17,550",250,+1.45%,"5,000","91,650","522,224",7.15,"3,264,857",52.08,-37.20,
44,SK아이이테크놀로지,"125,500","5,500",+4.58%,"1,000","89,478","71,298",10.53,"451,680",82.51,11.00,
45,넷마블,"103,500",500,+0.49%,100,"88,962","85,954",22.93,"113,520",38.28,6.35,
46,현대중공업,"98,700","2,800",-2.76%,"5,000","87,619","88,773",2.21,"144,151",-10.77,-7.86,
47,포스코케미칼,"112,000",500,+0.45%,500,"86,759","77,463",6.42,"119,369",62.53,2.96,
